"","Avg1","Avg2","Avg3","Avg4","Avg5","Avg6","Avg7","Avg9","Avg10","Avg12","Avg13","Avg14","Avg15","Avg16","Avg17","Avg18","Avg19","Avg20","Avg5.2","Avg18.2"
"1","28.5000000","26.0000000","30.0000000","33.5000000","46.5000000","24.0000000","25.0000000","36.5000000","41.5000000","37.0000000","35.0000000","27.0000000","25.5000000","27.5000000","40.0000000","28.5000000","27.0000000","20.0000000",NA,NA
"2",NA,"22.0000000","28.5000000","31.5000000","43.0000000","21.0000000","25.5000000","28.5000000","53.5000000","34.5000000","35.0000000","22.0000000","22.0000000","27.0000000","30.5000000","23.0000000","22.0000000","13.0000000","41.0000000","19.5000000"
"3","25.0000000","21.5000000","24.0000000","28.0000000","37.0000000","19.0000000","20.0000000","24.0000000","44.5000000","34.0000000","33.0000000","22.0000000",NA,NA,"27.5000000",NA,"23.5000000",NA,"37.0000000","34.5000000"
"4",NA,"19.0000000","22.0000000","30.0000000","32.5000000","19.0000000","21.0000000","26.5000000","32.0000000","26.5000000",NA,"19.0000000","26.5000000","24.5000000",NA,NA,"21.0000000","13.0000000",NA,NA
"5","25.0000000","15.5000000","22.5000000","24.5000000",NA,"13.0000000","20.5000000","26.5000000","30.0000000","32.5000000","33.0000000","14.0000000","16.0000000","26.0000000","24.0000000","18.5000000","19.0000000","20.5000000","32.5000000","21.0000000"
"6","22.0000000","14.0000000","23.5000000","21.5000000","37.0000000","14.5000000","29.0000000","27.0000000","29.0000000","26.0000000","27.0000000","14.0000000","15.5000000","22.5000000","19.0000000",NA,"20.0000000","12.0000000","30.0000000",NA
"7","25.5000000","14.5000000","24.0000000","34.5000000",NA,"16.5000000","23.5000000","35.0000000","34.0000000","36.0000000","27.5000000","14.5000000","23.0000000","28.0000000","30.5000000",NA,"22.0000000","13.0000000","38.5000000","21.0000000"
"8","29.0000000","15.0000000","20.0000000","24.0000000","31.5000000","14.5000000","18.5000000","25.0000000","26.5000000","24.5000000",NA,"12.5000000",NA,NA,"23.5000000",NA,"18.0000000","12.5000000","29.0000000","17.5000000"
"9",NA,"14.0000000","22.0000000","21.5000000","26.0000000","13.0000000","19.0000000","24.5000000",NA,"24.5000000",NA," 8.0000000","14.5000000","15.0000000","21.0000000",NA,"19.0000000","11.5000000","26.5000000","14.0000000"
"10",NA,"12.0000000","20.5000000","20.0000000","24.5000000","12.5000000","19.0000000","20.5000000","21.0000000",NA,NA," 8.0000000",NA,NA,"22.0000000",NA,NA,"18.0000000",NA,NA
"11",NA," 9.0000000","19.0000000","15.5000000",NA,"12.0000000","13.0000000","17.5000000",NA,NA,"17.0000000","10.0000000",NA,NA,NA,NA,NA,NA,NA,NA
