YR,STAND,PLOT,SPECIES,DIAM
1965,7,1,2,56.4
1965,7,1,2,3.1
1965,7,1,2,34.0
1965,7,1,2,2.0
1965,7,1,2,3.8
1965,7,1,2,4.1
1965,7,1,2,2.3
1965,7,1,2,41.4
1965,7,1,1,5.1
1965,7,1,1,4.6
1965,7,1,1,24.6
1965,7,1,1,18.5
1965,7,1,1,8.1
1965,7,1,1,4.6
1965,7,1,1,2.0
1965,7,1,21,2.0
1965,7,1,3,16.3
1965,7,1,8,6.9
1965,7,2,2,2.3
1965,7,2,2,2.5
1965,7,2,2,4.3
1965,7,2,2,3.1
1965,7,2,2,2.0
1965,7,2,2,3.1
1965,7,2,2,4.3
1965,7,2,2,3.1
1965,7,2,2,4.3
1965,7,2,2,3.8
1965,7,2,2,2.5
1965,7,2,2,3.3
1965,7,2,1,2.8
1965,7,2,1,2.5
1965,7,2,1,3.1
1965,7,2,1,4.1
1965,7,2,1,2.5
1965,7,2,1,2.0
1965,7,2,1,2.0
1965,7,2,1,2.0
1965,7,2,1,3.1
1965,7,2,1,2.5
1965,7,2,1,22.9
1965,7,2,1,4.8
1965,7,2,1,40.1
1965,7,2,1,3.6
1965,7,2,1,4.1
1965,7,2,1,27.2
1965,7,2,8,2.0
1965,7,2,8,2.5
1965,7,2,21,7.1
1965,7,3,1,2.3
1965,7,3,1,2.3
1965,7,3,1,5.3
1965,7,3,1,3.8
1965,7,3,1,5.1
1965,7,3,1,7.1
1965,7,3,1,2.0
1965,7,3,1,2.3
1965,7,3,1,35.3
1965,7,3,1,33.0
1965,7,3,1,3.1
1965,7,3,1,2.5
1965,7,3,2,15.5
1965,7,3,2,2.5
1965,7,3,2,2.5
1965,7,3,2,2.8
1965,7,3,2,2.8
1965,7,3,2,34.8
1965,7,3,2,4.1
1965,7,3,7,2.8
1965,7,3,7,2.8
1965,7,3,7,2.3
1965,7,3,7,3.6
1965,7,3,10,2.8
1965,7,3,10,4.1
1965,7,3,4,6.6
1965,7,3,8,3.3
1965,7,3,8,3.3
1965,7,3,8,2.8
1965,7,3,8,2.5
1965,7,4,2,3.8
1965,7,4,2,4.3
1965,7,4,2,46.7
1965,7,4,2,2.5
1965,7,4,2,5.6
1965,7,4,2,3.8
1965,7,4,2,10.9
1965,7,4,2,5.8
1965,7,4,2,11.4
1965,7,4,2,3.8
1965,7,4,2,23.4
1965,7,4,2,5.3
1965,7,4,2,13.0
1965,7,4,1,10.4
1965,7,4,1,2.0
1965,7,4,1,3.3
1965,7,4,8,4.3
