"","Sd1","Sd2","Sd3","Sd4","Sd5","Sd6","Sd7","Sd9","Sd10","Sd12","Sd13","Sd14","Sd15","Sd16","Sd17","Sd18","Sd19","Sd20","Sd5.2","Sd18.2"
"1"," 2.1213203"," 1.4142136"," 1.4142136"," 0.7071068"," 6.3639610"," 1.4142136"," 1.4142136"," 3.5355339"," 6.3639610"," 2.8284271"," 2.8284271"," 1.4142136"," 0.7071068"," 6.3639610"," 1.4142136"," 3.5355339"," 0.0000000"," 0.0000000",NA,NA
"2",NA," 1.4142136"," 0.7071068"," 4.9497475"," 1.4142136"," 1.4142136"," 6.3639610"," 3.5355339","20.5060967"," 3.5355339"," 0.0000000"," 0.0000000"," 0.0000000"," 1.4142136"," 0.7071068"," 1.4142136"," 0.0000000"," 0.0000000"," 1.4142136"," 0.7071068"
"3"," 0.0000000"," 0.7071068"," 2.8284271"," 1.4142136"," 0.0000000"," 1.4142136"," 0.0000000"," 2.8284271","13.4350288"," 1.4142136"," 1.4142136"," 1.4142136",NA,NA," 2.1213203",NA," 0.7071068",NA," 5.6568542"," 0.7071068"
"4",NA," 0.0000000"," 0.0000000"," 4.2426407"," 2.1213203"," 1.4142136"," 1.4142136"," 0.7071068"," 0.0000000"," 2.1213203",NA," 2.8284271"," 7.7781746"," 3.5355339",NA,NA," 1.4142136"," 1.4142136",NA,NA
"5"," 5.6568542"," 2.1213203"," 3.5355339"," 0.7071068",NA," 1.4142136"," 0.7071068"," 3.5355339"," 0.0000000"," 4.9497475"," 5.6568542"," 1.4142136"," 0.0000000"," 1.4142136"," 0.0000000"," 2.1213203"," 0.0000000"," 6.3639610"," 4.9497475"," 1.4142136"
"6"," 2.8284271"," 1.4142136"," 2.1213203"," 2.1213203"," 5.6568542"," 0.7071068"," 2.8284271"," 0.0000000"," 0.0000000"," 2.8284271"," 5.6568542"," 1.4142136"," 0.7071068"," 3.5355339"," 1.4142136",NA," 0.0000000"," 1.4142136"," 0.0000000",NA
"7"," 6.3639610"," 0.7071068"," 0.0000000"," 4.9497475",NA," 0.7071068"," 3.5355339"," 5.6568542"," 0.0000000"," 2.8284271"," 0.7071068"," 0.7071068"," 5.6568542"," 8.4852814"," 2.1213203",NA," 0.0000000"," 0.0000000"," 7.7781746"," 4.2426407"
"8"," 1.4142136"," 0.0000000"," 0.0000000"," 2.8284271"," 2.1213203"," 0.7071068"," 2.1213203"," 4.2426407"," 2.1213203"," 6.3639610",NA," 2.1213203",NA,NA," 0.7071068",NA," 1.4142136"," 2.1213203"," 1.4142136"," 4.9497475"
"9",NA," 1.4142136"," 2.8284271"," 0.7071068"," 0.0000000"," 0.0000000"," 0.0000000"," 0.7071068",NA," 6.3639610",NA," 0.0000000"," 0.7071068"," 0.0000000"," 2.8284271",NA," 1.4142136"," 2.1213203"," 2.1213203"," 0.0000000"
"10",NA," 2.8284271"," 2.1213203"," 0.0000000"," 2.1213203"," 3.5355339"," 0.0000000"," 0.7071068"," 2.8284271",NA,NA," 0.0000000",NA,NA," 1.4142136",NA,NA," 7.0710678",NA,NA
"11",NA," 0.0000000"," 0.0000000"," 0.7071068",NA," 0.0000000"," 0.0000000"," 2.1213203",NA,NA," 1.4142136"," 0.0000000",NA,NA,NA,NA,NA,NA,NA,NA
